subj,tokprodfr,exchprodfr,price,exp1,exp1cond,exp2,exp2cond,exp3,exp3cond,exp4,exp4cond,exp5,exp5cond,exp6,exp6cond,exp7,exp7cond,freetoken,wage,intrft,intcrit,taxloss,taxcrit,tokprodresp,exchprodresp,tokexchresp,rft,tokennum,inttok,taxtok
1,1,200,1,,,,,,,,,,,6,13,,,,,2,18,,,94,800,94,94,6,0,
1,1,200,1,,,,,,,,,,,6,13,,,,,2,18,,,91,1000,99,99,3,8,
1,1,200,1,,,,,,,,,,,6,13,,,,,2,18,,,87,800,107,107,17,20,
1,1,200,1,,,,,,,,,,,6,13,,,,,2,18,,,96,1000,98,98,0,2,
1,1,200,1,,,,,,,,,,,6,14,,,,,5,18,,,68,400,98,98,9,30,
1,1,200,1,,,,,,,,,,,6,14,,,,,5,18,,,49,400,84,84,60,35,
1,1,200,1,,,,,,,,,,,6,14,,,,,5,18,,,66,600,95,95,4,29,
1,1,200,1,,,,,,,,,,,6,14,,,,,5,18,,,56,600,56,56,5,0,
1,1,200,1,,,,,,,,,,,6,14,,,,,5,18,,,94,800,99,99,0,5,
1,1,200,1,,,,,,,,,,,6,12,,,,,1,18,,,112,600,112,112,5,0,
1,1,200,1,,,,,,,,,,,6,12,,,,,1,18,,,69,400,113,113,15,44,
1,1,200,1,,,,,,,,,,,6,12,,,,,1,18,,,90,600,103,103,2,13,
1,1,200,1,,,,,,,,,,,6,12,,,,,1,18,,,85,600,99,99,2,14,
1,1,200,1,,,,,,,,,,,6,12,,,,,1,18,,,85,400,106,106,12,21,
1,1,200,1,,,,,,,,,,,6,15,,,,,2,18,,,74,600,86,86,1,12,
1,1,200,1,,,,,,,,,,,6,15,,,,,2,18,,,71,600,116,116,1,45,
1,1,200,1,,,,,,,,,,,6,15,,,,,2,18,,,45,400,45,45,12,0,
1,1,200,1,,,,,,,,,,,6,15,,,,,2,18,,,77,400,96,96,2,19,
1,1,200,1,,,,,,,,,,,6,15,,,,,2,18,,,33,400,72,72,7,39,
1,1,200,1,,,,,,,,,,,6,16,,,,,,,,,87,400,87,87,2,0,
1,1,200,1,,,,,,,,,,,6,16,,,,,,,,,83,400,83,83,15,0,
1,1,200,1,,,,,,,,,,,6,16,,,,,,,,,112,600,112,112,1,0,
1,1,200,1,,,,,,,,,,,6,16,,,,,,,,,72,400,72,72,2,0,
1,1,200,1,,,,,,,,,,,6,16,,,,,,,,,100,400,100,100,1,0,
1,1,200,1,,,,,,,,,,,6,18,,,,,2,6,,,50,600,148,148,0,98,
1,1,200,1,,,,,,,,,,,6,18,,,,,2,6,,,37,400,100,100,4,63,
1,1,200,1,,,,,,,,,,,6,18,,,,,2,6,,,40,400,120,120,0,80,
1,1,200,1,,,,,,,,,,,6,18,,,,,2,6,,,48,400,97,97,26,49,
1,1,200,1,,,,,,,,,,,6,18,,,,,2,6,,,25,400,117,117,1,92,
1,1,200,1,,,,,,,,,,,6,19,,,,,5,6,,,34,400,88,88,1,54,
1,1,200,1,,,,,,,,,,,6,19,,,,,5,6,,,14,400,120,120,0,106,
1,1,200,1,,,,,,,,,,,6,19,,,,,5,6,,,24,400,120,120,0,96,
1,1,200,1,,,,,,,,,,,6,19,,,,,5,6,,,41,400,120,120,0,79,
1,1,200,1,,,,,,,,,,,6,19,,,,,5,6,,,32,400,120,120,0,88,
1,1,200,1,,,,,,,,,,,,,,,,,2,6,,,33,600,126,126,0,93,
1,1,200,1,,,,,,,,,,,,,,,,,2,6,,,69,1400,107,107,0,38,
1,1,200,1,,,,,,,,,,,,,,,,,2,6,,,75,800,127,127,0,52,
1,1,200,1,,,,,,,,,,,,,,,,,2,6,,,51,600,121,121,0,70,
1,1,200,1,,,,,,,,,,,,,,,,,2,6,,,74,1000,158,158,0,84,
1,1,200,1,,,,,,,,,,,6,17,,,,,1,6,,,37,600,124,124,0,87,
1,1,200,1,,,,,,,,,,,6,17,,,,,1,6,,,44,600,141,141,0,97,
1,1,200,1,,,,,,,,,,,6,17,,,,,1,6,,,47,600,152,152,0,105,
1,1,200,1,,,,,,,,,,,6,17,,,,,1,6,,,30,400,120,120,0,90,
1,1,200,1,,,,,,,,,,,6,17,,,,,1,6,,,55,800,80,80,1,25,
1,1,200,1,,,,,,,,,,,,,,,,,5,6,,,23,400,120,120,0,97,
1,1,200,1,,,,,,,,,,,,,,,,,5,6,,,47,600,141,141,0,94,
1,1,200,1,,,,,,,,,,,,,,,,,5,6,,,21,400,120,120,0,99,
1,1,200,1,,,,,,,,,,,,,,,,,5,6,,,41,800,164,164,0,123,
1,1,200,1,,,,,,,,,,,,,,,,,5,6,,,51,1200,148,148,5,97,
1,1,200,1,,,,,,,,,,,,,7,1,,,,,,,85,800,85,85,8,,0
1,1,200,1,,,,,,,,,,,,,7,1,,,,,,,104,600,104,104,16,,0
1,1,200,1,,,,,,,,,,,,,7,1,,,,,,,90,1200,90,90,29,,0
1,1,200,1,,,,,,,,,,,,,7,1,,,,,,,85,1000,85,85,8,,0
1,1,200,1,,,,,,,,,,,,,7,1,,,,,,,69,800,69,69,12,,0
1,1,200,1,,,,,,,,,,,,,7,3,,,,,2,6,117,1000,95,95,0,,22
1,1,200,1,,,,,,,,,,,,,7,3,,,,,2,6,133,1200,85,85,4,,48
1,1,200,1,,,,,,,,,,,,,7,3,,,,,2,6,140,1200,82,82,5,,58
1,1,200,1,,,,,,,,,,,,,7,3,,,,,2,6,108,1200,86,86,7,,22
1,1,200,1,,,,,,,,,,,,,7,3,,,,,2,6,139,800,87,87,1,,52
1,1,200,1,,,,,,,,,,,,,7,4,,,,,5,6,146,1200,72,72,29,,74
1,1,200,1,,,,,,,,,,,,,7,4,,,,,5,6,168,1400,88,88,4,,80
1,1,200,1,,,,,,,,,,,,,7,4,,,,,5,6,230,1800,110,110,2,,120
